City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sabha,27.0377,14.4283,23.4,24,5,3.12,LY,1698703216
1,verdal,63.7933,11.4817,-6.98,74,5,2.43,NO,1698703218
2,nong phai,15.9903,101.0618,22.66,93,99,1.22,TH,1698703220
3,holualoa,19.6228,-155.9522,28.64,69,20,3.6,US,1698702851
4,grytviken,-54.2811,-36.5092,4.36,83,6,2.91,GS,1698702819
5,anadyr,64.75,177.4833,1.28,93,75,7.0,RU,1698702824
6,yellowknife,62.456,-114.3525,0.23,93,75,4.12,CA,1698702824
7,kapuskasing,49.4169,-82.4331,-1.95,64,40,3.6,CA,1698702886
8,tamiahua,21.2667,-97.45,20.57,87,100,13.66,MX,1698703227
9,ust-nera,64.5667,143.2,-16.96,100,100,1.34,RU,1698702857
10,isafjordur,66.0755,-23.124,4.58,65,94,3.77,IS,1698702814
11,lebu,-37.6167,-73.65,10.38,65,80,7.11,CL,1698702827
12,praia da vitoria,38.7333,-27.0667,18.2,77,20,7.61,PT,1698702761
13,iqaluit,63.7506,-68.5145,-12.15,72,75,10.8,CA,1698702815
14,olonkinbyen,70.9221,-8.7187,1.45,72,100,5.23,SJ,1698702822
15,avarua,-21.2078,-159.775,25.03,73,75,8.75,CK,1698702729
16,palapag,12.5458,125.1147,27.67,81,100,7.83,PH,1698703232
17,sitka,57.0531,-135.33,8.94,81,75,3.6,US,1698702842
18,edinburgh of the seven seas,-37.0676,-12.3116,12.81,90,92,13.4,SH,1698702723
19,timaru,-44.4,171.25,14.48,94,100,2.24,NZ,1698703234
20,mount pearl,47.5166,-52.7813,3.8,74,100,4.63,CA,1698703235
21,saint-philippe,-21.3585,55.7679,23.77,87,52,1.98,RE,1698702831
22,dawei,14.0833,98.2,25.98,81,100,3.94,MM,1698703237
23,shahecheng,36.9383,114.5058,15.93,41,54,0.92,CN,1698703237
24,udachny,66.4167,112.4,-21.2,100,96,2.0,RU,1698702829
25,hawaiian paradise park,19.5933,-154.9731,27.15,87,75,3.6,US,1698702711
26,ushuaia,-54.8,-68.3,4.81,60,75,9.26,AR,1698702530
27,papatowai,-46.5619,169.4708,14.66,63,100,1.87,NZ,1698702820
28,olinda,-8.0089,-34.8553,26.85,61,20,5.66,BR,1698703061
29,bowen,-20.0167,148.2333,24.99,50,55,2.29,AU,1698703242
30,kruisfontein,-34.0033,24.7314,12.03,79,0,6.07,ZA,1698702825
31,laguna salada,19.6483,-71.0945,25.46,85,83,2.24,DO,1698703243
32,niquero,20.0431,-77.5828,28.67,73,44,3.82,CU,1698703243
33,altpinar,39.2042,32.7478,16.4,53,100,1.88,TR,1698703244
34,bredasdorp,-34.5322,20.0403,14.12,74,0,7.2,ZA,1698702815
35,leninsk,48.7119,45.1994,8.43,77,100,3.5,RU,1698703245
36,waitangi,-43.9535,-176.5597,13.79,82,100,7.15,NZ,1698702821
37,afaahiti,-17.75,-149.2833,27.93,84,15,9.22,PF,1698703246
38,puerto natales,-51.7236,-72.4875,6.71,51,64,1.69,CL,1698702707
39,albany,42.6001,-73.9662,8.43,86,100,5.01,US,1698702648
40,punta arenas,-53.15,-70.9167,7.06,57,0,6.17,CL,1698702819
41,adamstown,-25.066,-130.1015,22.99,73,100,3.92,PN,1698702816
42,port lincoln,-34.7333,135.8667,13.64,54,64,5.6,AU,1698702794
43,whitehorse,60.7161,-135.0538,2.28,93,100,3.09,CA,1698702823
44,opuwo,-18.0607,13.84,21.85,14,1,2.85,NA,1698702856
45,thompson,55.7435,-97.8558,-5.91,68,100,5.66,CA,1698702818
46,puerto ayora,-0.7393,-90.3518,27.98,90,100,2.24,EC,1698702827
47,lompoc,34.6391,-120.4579,27.66,30,0,4.63,US,1698702785
48,quellon,-43.1167,-73.6167,9.15,53,31,2.31,CL,1698703252
49,great falls,47.5002,-111.3008,4.25,56,0,4.12,US,1698703200
50,east london,-33.0153,27.9116,14.98,79,59,5.46,ZA,1698702814
51,yigou,35.8114,114.3167,17.05,42,14,1.51,CN,1698703254
52,ibiza,38.9088,1.433,21.0,49,0,6.69,ES,1698702968
53,port-aux-francais,-49.35,70.2167,2.8,92,99,17.75,TF,1698702627
54,riversdale,18.1659,-76.9642,28.97,92,100,0.39,JM,1698703256
55,ilulissat,69.2167,-51.1,3.01,52,5,9.77,GL,1698702820
56,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,82,20,4.92,RU,1698702819
